area_a,area_b,t,p_unc,p_fdr_bh
East China,Middle China,0.029212243281825364,0.976741536043088,0.9982867185320904
East China,North China,-0.002151546218686645,0.9982867185320904,0.9982867185320904
East China,South China,-0.028705380372321763,0.9771920557165064,0.9982867185320904
East China,West China,0.003428379611380465,0.9972756593431755,0.9982867185320904
Middle China,North China,-0.03136259436160006,0.9750299966994445,0.9982867185320904
Middle China,South China,-0.052445877472712246,0.9583419074313704,0.9982867185320904
Middle China,West China,-0.02025704307181642,0.9839036979462861,0.9982867185320904
North China,South China,-0.02695743505411938,0.9785805565751325,0.9982867185320904
North China,West China,0.005171390470070795,0.9958906005739732,0.9982867185320904
South China,West China,0.027701681078348476,0.9779890576036498,0.9982867185320904
