"model","contrast","age0","age1","effect","estimate","boot_se","ci_low","ci_high","p_boot","n_boot_success"
"no_age_moderation","8_to_12",8,12,"ACME_at_age0",0.0237865549172973,0.0261941060539306,-0.0126365934761786,0.089676682113302,0.198,1000
"no_age_moderation","8_to_12",8,12,"ACME_at_age1",0.0237865549172973,0.0261941060539306,-0.0126365934761794,0.089676682113302,0.198,1000
"no_age_moderation","8_to_12",8,12,"ACME_avg",0.0237865549172973,0.0261941060539306,-0.012636593476179,0.089676682113302,0.198,1000
"no_age_moderation","8_to_12",8,12,"ADE_Ma0",0.101636635464753,0.270650882936366,-0.243669876224002,0.856469648675275,0.496,1000
"no_age_moderation","8_to_12",8,12,"ADE_Ma1",0.101636635464753,0.270650882936366,-0.243669876224002,0.856469648675275,0.496,1000
"no_age_moderation","8_to_12",8,12,"ADE_avg",0.101636635464753,0.270650882936366,-0.243669876224002,0.856469648675275,0.496,1000
"no_age_moderation","8_to_12",8,12,"Total_effect",0.12542319038205,0.271186408060401,-0.234599385540923,0.875472260261229,0.392,1000
"no_age_moderation","8_to_12",8,12,"Prop_med_avg",0.189650373625813,5.01917779951679,-1.14212341234687,2.34690436153168,0.45,1000
"no_age_moderation","12_to_16",12,16,"ACME_at_age0",-0.0254746185999624,0.0155133047016496,-0.0610219411782596,-6.46038227950441e-06,0.018,1000
"no_age_moderation","12_to_16",12,16,"ACME_at_age1",-0.0254746185999624,0.0155133047016496,-0.0610219411782596,-6.46038227950441e-06,0.018,1000
"no_age_moderation","12_to_16",12,16,"ACME_avg",-0.0254746185999624,0.0155133047016496,-0.0610219411782596,-6.46038227950441e-06,0.018,1000
"no_age_moderation","12_to_16",12,16,"ADE_Ma0",0.10808387743324,0.0752733604233039,-0.0456798247104131,0.25257944138455,0.134,1000
"no_age_moderation","12_to_16",12,16,"ADE_Ma1",0.10808387743324,0.0752733604233038,-0.0456798247104131,0.25257944138455,0.134,1000
"no_age_moderation","12_to_16",12,16,"ADE_avg",0.10808387743324,0.0752733604233039,-0.0456798247104131,0.25257944138455,0.134,1000
"no_age_moderation","12_to_16",12,16,"Total_effect",0.0826092588332781,0.0775177909344289,-0.0707987890835307,0.230826512445918,0.322,1000
"no_age_moderation","12_to_16",12,16,"Prop_med_avg",-0.30837485966767,4.66420247077649,-3.33657532912666,3.50655383558985,0.336,1000
"no_age_moderation","16_to_19",16,19,"ACME_at_age0",0.0245720536025233,0.0220902086988768,-0.00340848553605728,0.0780806427178631,0.116,1000
"no_age_moderation","16_to_19",16,19,"ACME_at_age1",0.0245720536025233,0.0220902086988768,-0.00340848553605728,0.0780806427178631,0.116,1000
"no_age_moderation","16_to_19",16,19,"ACME_avg",0.0245720536025233,0.0220902086988768,-0.00340848553605728,0.0780806427178631,0.116,1000
"no_age_moderation","16_to_19",16,19,"ADE_Ma0",0.0874715911710835,0.113579656852786,0.0153125918537252,0.442510236652042,0.012,1000
"no_age_moderation","16_to_19",16,19,"ADE_Ma1",0.0874715911710835,0.113579656852786,0.0153125918537252,0.442510236652042,0.012,1000
"no_age_moderation","16_to_19",16,19,"ADE_avg",0.0874715911710835,0.113579656852786,0.0153125918537252,0.442510236652042,0.012,1000
"no_age_moderation","16_to_19",16,19,"Total_effect",0.112043644773607,0.112870044512939,0.0400416832953465,0.468183067631364,0.012,1000
"no_age_moderation","16_to_19",16,19,"Prop_med_avg",0.219307874642718,0.558825242697814,-0.02251563285868,0.682902602447777,0.12,1000
"no_age_moderation","8_to_19",8,19,"ACME_at_age0",0.0228839899198583,0.0276384884753053,-0.0100227312937023,0.10588077081705,0.088,1000
"no_age_moderation","8_to_19",8,19,"ACME_at_age1",0.0228839899198583,0.0276384884753053,-0.0100227312937023,0.10588077081705,0.088,1000
"no_age_moderation","8_to_19",8,19,"ACME_avg",0.0228839899198583,0.0276384884753053,-0.0100227312937023,0.10588077081705,0.088,1000
"no_age_moderation","8_to_19",8,19,"ADE_Ma0",0.297192104069077,0.33287570520023,-0.00565865596463986,1.30468907851137,0.08,1000
"no_age_moderation","8_to_19",8,19,"ADE_Ma1",0.297192104069077,0.33287570520023,-0.00565865596463986,1.30468907851137,0.08,1000
"no_age_moderation","8_to_19",8,19,"ADE_avg",0.297192104069077,0.33287570520023,-0.00565865596463986,1.30468907851137,0.08,1000
"no_age_moderation","8_to_19",8,19,"Total_effect",0.320076093988935,0.331688482988697,0.0157605175002729,1.32712697341104,0.024,1000
"no_age_moderation","8_to_19",8,19,"Prop_med_avg",0.0714954673267457,0.842432100460631,-0.0476504278555851,1.00748686699413,0.104,1000
"no_age_moderation","8_to_11",8,11,"ACME_at_age0",0.0245506710826371,0.0256844339019311,-0.0105638900182842,0.0913813932742542,0.164,1000
"no_age_moderation","8_to_11",8,11,"ACME_at_age1",0.0245506710826371,0.0256844339019311,-0.0105638900182842,0.0913813932742542,0.164,1000
"no_age_moderation","8_to_11",8,11,"ACME_avg",0.0245506710826371,0.0256844339019311,-0.0105638900182842,0.0913813932742542,0.164,1000
"no_age_moderation","8_to_11",8,11,"ADE_Ma0",0.0762302178113803,0.305360204072243,-0.19186510998134,1.0114289136487,0.476,1000
"no_age_moderation","8_to_11",8,11,"ADE_Ma1",0.0762302178113803,0.305360204072243,-0.19186510998134,1.0114289136487,0.476,1000
"no_age_moderation","8_to_11",8,11,"ADE_avg",0.0762302178113803,0.305360204072243,-0.19186510998134,1.0114289136487,0.476,1000
"no_age_moderation","8_to_11",8,11,"Total_effect",0.100780888894017,0.305575430158341,-0.182991139837537,1.04375961618453,0.368,1000
"no_age_moderation","8_to_11",8,11,"Prop_med_avg",0.243604430880292,4.49301641702427,-1.49018759228353,2.28009536160245,0.412,1000
"no_age_moderation","11_to_19",11,19,"ACME_at_age0",-0.00166668116277879,0.0159699778739347,-0.0272209564233,0.0387073513839237,0.928,1000
"no_age_moderation","11_to_19",11,19,"ACME_at_age1",-0.00166668116277879,0.0159699778739347,-0.0272209564233,0.0387073513839237,0.928,1000
"no_age_moderation","11_to_19",11,19,"ACME_avg",-0.00166668116277879,0.0159699778739347,-0.0272209564233,0.0387073513839237,0.928,1000
"no_age_moderation","11_to_19",11,19,"ADE_Ma0",0.220961886257697,0.123004855277911,0.0280013936133503,0.496780685276005,0.016,1000
"no_age_moderation","11_to_19",11,19,"ADE_Ma1",0.220961886257697,0.123004855277911,0.0280013936133503,0.496780685276005,0.016,1000
"no_age_moderation","11_to_19",11,19,"ADE_avg",0.220961886257697,0.123004855277911,0.0280013936133503,0.496780685276005,0.016,1000
"no_age_moderation","11_to_19",11,19,"Total_effect",0.219295205094918,0.121804986628496,0.0277008094584571,0.492502581876343,0.026,1000
"no_age_moderation","11_to_19",11,19,"Prop_med_avg",-0.00760017147687932,0.811972664003947,-0.160617931249033,0.298648351370921,0.922,1000
"age_moderation","8_to_12",8,12,"ACME_at_age0",0.0237765544045887,0.0399302953511185,-0.0653294089632255,0.0855450384983203,0.678,1000
"age_moderation","8_to_12",8,12,"ACME_at_age1",0.0237920864696139,0.0322578207041862,-0.0140475159712901,0.114665280849208,0.198,1000
"age_moderation","8_to_12",8,12,"ACME_avg",0.0237843204371013,0.0266325581172706,-0.0154843690058081,0.0859888951092137,0.304,1000
"age_moderation","8_to_12",8,12,"ADE_Ma0",0.103559482815696,0.282030511211702,-0.252272105791447,0.859285196814665,0.496,1000
"age_moderation","8_to_12",8,12,"ADE_Ma1",0.103575014880721,0.288563230041217,-0.237876944005029,0.897424053273816,0.436,1000
"age_moderation","8_to_12",8,12,"ADE_avg",0.103567248848209,0.284247724534853,-0.237897102784425,0.888963780906214,0.462,1000
"age_moderation","8_to_12",8,12,"Total_effect",0.12735156928531,0.283317258790607,-0.231566815685768,0.900675023576804,0.41,1000
"age_moderation","8_to_12",8,12,"Prop_med_avg",0.186761109977502,6.67036846573914,-1.21838130003461,1.07748230300078,0.57,1000
"age_moderation","12_to_16",12,16,"ACME_at_age0",-0.0254805427107057,0.0196893279001657,-0.0760239200066294,-8.09000486901033e-06,0.018,1000
"age_moderation","12_to_16",12,16,"ACME_at_age1",-0.0254797609152293,0.0177696545243492,-0.0695297906932729,-6.04688879251026e-06,0.02,1000
"age_moderation","12_to_16",12,16,"ACME_avg",-0.0254801518129675,0.0178994364213412,-0.0712777323289372,-7.90030215134504e-06,0.018,1000
"age_moderation","12_to_16",12,16,"ADE_Ma0",0.108049665426263,0.0796857875303733,-0.0516722521893044,0.271031065809209,0.176,1000
"age_moderation","12_to_16",12,16,"ADE_Ma1",0.108050447221739,0.0795597471865449,-0.0515958283307841,0.274755643732609,0.158,1000
"age_moderation","12_to_16",12,16,"ADE_avg",0.108050056324001,0.079425838050508,-0.0516354916768835,0.274120767429419,0.166,1000
"age_moderation","12_to_16",12,16,"Total_effect",0.0825699045110334,0.0820589141863711,-0.0900692476954061,0.243304853828096,0.366,1000
"age_moderation","12_to_16",12,16,"Prop_med_avg",-0.308588849216396,11.7186540355634,-3.68118451019449,4.22258288660688,0.38,1000
"age_moderation","16_to_19",16,19,"ACME_at_age0",0.0245770137257102,0.0247579601614069,-0.00405512997973841,0.0908160140594517,0.118,1000
"age_moderation","16_to_19",16,19,"ACME_at_age1",0.0245704441047656,0.0254741025864727,-0.0195634513260493,0.0784882876047513,0.358,1000
"age_moderation","16_to_19",16,19,"ACME_avg",0.0245737289152379,0.0222805178312892,-0.00315534899737146,0.0771371683653696,0.138,1000
"age_moderation","16_to_19",16,19,"ADE_Ma0",0.0855147858306699,0.131213895721021,0.0049490563108155,0.483899235939248,0.036,1000
"age_moderation","16_to_19",16,19,"ADE_Ma1",0.0855082162097254,0.1241429624931,1.72921981211268e-05,0.462002724562901,0.048,1000
"age_moderation","16_to_19",16,19,"ADE_avg",0.0855115010201977,0.127199681647736,0.00186060020792441,0.474903235403213,0.038,1000
"age_moderation","16_to_19",16,19,"Total_effect",0.110085229935436,0.123397933186348,0.0286018570206311,0.488283328411572,0.02,1000
"age_moderation","16_to_19",16,19,"Prop_med_avg",0.223224577263001,4.07805417230474,-0.0236899924394162,0.792452229882753,0.15,1000
