"model","contrast","age0","age1","ACME_at_age0","ACME_at_age1","ACME_avg","ADE_Ma0","ADE_Ma1","ADE_avg","Total_effect","Prop_med_avg","boot"
"no_age_moderation","8_to_12",8,12,-0.0160290887597623,-0.0160290887597623,-0.0160290887597623,0.0303578957240216,0.0303578957240216,0.0303578957240216,0.0143288069642593,-1.11866178389757,1
"no_age_moderation","12_to_16",12,16,-0.0106549818801977,-0.0106549818801977,-0.0106549818801977,0.0487635620875295,0.0487635620875295,0.0487635620875295,0.0381085802073318,-0.279595351551508,1
"no_age_moderation","16_to_19",16,19,-0.00411595825858547,-0.00411595825858547,-0.00411595825858547,0.0731604279516702,0.0731604279516702,0.0731604279516702,0.0690444696930848,-0.0596131489876257,1
"no_age_moderation","8_to_19",8,19,-0.0308000288985455,-0.0308000288985455,-0.0308000288985455,0.152281885763221,0.152281885763221,0.152281885763221,0.121481856864676,-0.253536039812555,1
"no_age_moderation","8_to_11",8,11,-0.0120948472813813,-0.0120948472813813,-0.0120948472813813,0.0233896866120107,0.0233896866120107,0.0233896866120107,0.0112948393306294,-1.07082951136653,1
"no_age_moderation","11_to_19",11,19,-0.0187051816171642,-0.0187051816171642,-0.0187051816171642,0.128892199151211,0.128892199151211,0.128892199151211,0.110187017534046,-0.169758489119505,1
"age_moderation","8_to_12",8,12,-0.00236006771611307,-0.013522808353351,-0.00794143803473202,0.0234312022307183,0.0122684615934804,0.0178498319120993,0.00990839387736733,-0.801485905084152,1
"age_moderation","12_to_16",12,16,-0.00898898746733764,-0.0164043811968804,-0.012696684332109,0.040324664973867,0.0329092712443242,0.0366169681090956,0.0239202837769866,-0.530791542879786,1
"age_moderation","16_to_19",16,19,-0.00633691816874511,-0.00848614160030126,-0.00741152988452319,0.0699649391831101,0.0678157157515539,0.068890327467332,0.0614787975828088,-0.12055424269709,1
"age_moderation","8_to_19",8,19,-0.0045348899708681,-0.0635024434422391,-0.0340186667065536,0.158809918679402,0.0998423652080308,0.129326141943716,0.0953074752371627,-0.356935976133055,1
"age_moderation","8_to_11",8,11,-0.00178080357704187,-0.00809803572275225,-0.00493941964989706,0.0178633516656054,0.011546119519895,0.0147047355927502,0.0097653159428531,-0.505812579828721,1
"age_moderation","11_to_19",11,19,-0.012523947215898,-0.03856570205286,-0.025544824634379,0.12410786134717,0.0980661065102076,0.111086983928689,0.0855421592943096,-0.298622630584897,1
"no_age_moderation","8_to_12",8,12,-0.0666632034023551,-0.0666632034023551,-0.0666632034023551,0.171494222896029,0.171494222896029,0.171494222896029,0.104831019493674,-0.635911047363019,2
"no_age_moderation","12_to_16",12,16,-0.0173257583241378,-0.0173257583241378,-0.0173257583241378,0.171563369014825,0.171563369014825,0.171563369014825,0.154237610690687,-0.112331604765866,2
"no_age_moderation","16_to_19",16,19,0.0163214535939655,0.0163214535939655,0.0163214535939655,0.128816917629727,0.128816917629727,0.128816917629727,0.145138371223693,0.112454435421562,2
"no_age_moderation","8_to_19",8,19,-0.0676675081325273,-0.0676675081325273,-0.0676675081325273,0.471874509540581,0.471874509540581,0.471874509540581,0.404207001408054,-0.167408055518108,2
"no_age_moderation","8_to_11",8,11,-0.0544636982388313,-0.0544636982388313,-0.0544636982388313,0.12862652190079,0.12862652190079,0.12862652190079,0.0741628236619585,-0.734380051211134,2
"no_age_moderation","11_to_19",11,19,-0.013203809893696,-0.013203809893696,-0.013203809893696,0.343247987639791,0.343247987639791,0.343247987639791,0.330044177746095,-0.0400061894255069,2
"age_moderation","8_to_12",8,12,-0.0662056303166918,-0.0669282614227376,-0.0665669458697147,0.173800829193418,0.173078198087373,0.173439513640395,0.106872567770681,-0.622862791250128,2
"age_moderation","12_to_16",12,16,-0.0173946468708714,-0.017351768322138,-0.0173732075965047,0.17128144602433,0.171324324573064,0.171302885298697,0.153929677702192,-0.112864574628141,2
"age_moderation","16_to_19",16,19,0.0163459558966878,0.016243940332656,0.0162949481146719,0.128094000684714,0.127991985120682,0.128042992902698,0.14433794101737,0.112894419858123,2
"age_moderation","8_to_19",8,19,-0.0672030415465392,-0.0673461440328276,-0.0672745927896834,0.47248633052307,0.472343228036782,0.472414779279926,0.405140186490243,-0.166052628282787,2
"age_moderation","8_to_11",8,11,-0.0540898619815286,-0.0545725403940564,-0.0543312011877925,0.1305075710085,0.130024892595972,0.130266231802236,0.0759350306144432,-0.71549587519964,2
"age_moderation","11_to_19",11,19,-0.0132301968481712,-0.0131411028338943,-0.0131856498410327,0.342346258709694,0.342435352723971,0.342390805716832,0.3292051558758,-0.0400529870376858,2
"no_age_moderation","8_to_12",8,12,-0.0206952808619638,-0.0206952808619638,-0.0206952808619638,0.0764481133800334,0.0764481133800334,0.0764481133800334,0.0557528325180696,-0.371196940626405,3
"no_age_moderation","12_to_16",12,16,-0.0249870439129518,-0.0249870439129518,-0.0249870439129518,0.0765172680148822,0.0765172680148822,0.0765172680148822,0.0515302241019304,-0.484900742203754,3
"no_age_moderation","16_to_19",16,19,0.0287996920144691,0.0287996920144691,0.0287996920144691,0.057506692060179,0.057506692060179,0.057506692060179,0.0863063840746481,0.333691329132265,3
"no_age_moderation","8_to_19",8,19,-0.0168826327604465,-0.0168826327604465,-0.0168826327604465,0.210472073455095,0.210472073455095,0.210472073455095,0.193589440694648,-0.0872084381248655,3
"no_age_moderation","8_to_11",8,11,-0.00880419333394045,-0.00880419333394045,-0.00880419333394045,0.0573410100326939,0.0573410100326939,0.0573410100326939,0.0485368166987534,-0.181392063442977,3
"no_age_moderation","11_to_19",11,19,-0.0080784394265061,-0.0080784394265061,-0.0080784394265061,0.153131063422401,0.153131063422401,0.153131063422401,0.145052623995895,-0.0556931629636341,3
"age_moderation","8_to_12",8,12,-0.0302849145999775,-0.0225688988165378,-0.0264269067082576,0.077430048466102,0.0851460642495416,0.0812880563578218,0.0548611496495641,-0.481705302879441,3
"age_moderation","12_to_16",12,16,-0.0272492105595075,-0.0179354093918604,-0.022592309975684,0.0851908580318067,0.0945046591994537,0.0898477586156302,0.0672554486399463,-0.33591791345609,3
"age_moderation","16_to_19",16,19,0.0206720838382668,0.0126244821229742,0.0166482829806205,0.070965848154254,0.0629182464389614,0.0669420472966077,0.0835903302772282,0.199165177663568,3
"age_moderation","8_to_19",8,19,-0.0247055884277758,-0.00740058245643471,-0.0160530854421052,0.213107511023173,0.230412516994514,0.221760014008844,0.205706928566739,-0.0780386229766542,3
"age_moderation","8_to_11",8,11,-0.012883818539044,-0.0104218454406224,-0.0116528319898332,0.0580752625596152,0.0605372356580369,0.059306249108826,0.0476534171189928,-0.244532977786998,3
"age_moderation","11_to_19",11,19,-0.00956274401425319,-0.00354122238773294,-0.00655198320099306,0.161594733835479,0.167616255461999,0.164605494648739,0.158053511447746,-0.0414542083942198,3
"no_age_moderation","8_to_12",8,12,0.0308568871446013,0.0308568871446013,0.0308568871446013,0.130525208729162,0.130525208729162,0.130525208729162,0.161382095873763,0.191203906341248,4
"no_age_moderation","12_to_16",12,16,-0.0195620757640973,-0.0195620757640973,-0.0195620757640973,0.13068988575874,0.13068988575874,0.13068988575874,0.111127809994642,-0.176032226002118,4
"no_age_moderation","16_to_19",16,19,0.0247046426389748,0.0247046426389748,0.0247046426389748,0.0982729308018939,0.0982729308018939,0.0982729308018939,0.122977573440869,0.200887380908142,4
"no_age_moderation","8_to_19",8,19,0.0359994540194788,0.0359994540194788,0.0359994540194788,0.359488025289795,0.359488025289795,0.359488025289795,0.395487479309274,0.0910255214206844,4
"no_age_moderation","8_to_11",8,11,0.0444175565718265,0.0444175565718265,0.0444175565718265,0.0978836222216133,0.0978836222216133,0.0978836222216133,0.14230117879344,0.312137657245284,4
"no_age_moderation","11_to_19",11,19,-0.00841810255234776,-0.00841810255234776,-0.00841810255234776,0.261604403068182,0.261604403068182,0.261604403068182,0.253186300515834,-0.0332486494537697,4
"age_moderation","8_to_12",8,12,-0.0388795534849375,0.0724903558215671,0.0168054011683148,0.111602428702587,0.222972338009092,0.16728738335584,0.184092784524154,0.0912876689423412,4
"age_moderation","12_to_16",12,16,-0.0459560883799628,-0.0158889650951171,-0.0309225267375399,-0.0014843502672652,0.0285827730175804,0.0135492113751576,-0.0173733153623823,1.77988634250519,4
"age_moderation","16_to_19",16,19,0.0200659280391111,0.00739633475581812,0.0137311313974646,0.262494539281667,0.249824945998374,0.256159742640021,0.269890874037485,0.0508766050220635,4
"age_moderation","8_to_19",8,19,-0.0453591670287379,0.0107778937281484,-0.0172906366502947,0.425832449471109,0.481969510227995,0.453900979849552,0.436610343199257,-0.0396019858888312,4
"age_moderation","8_to_11",8,11,-0.0559659423295629,0.0650772939000066,0.00455567578522186,0.0628836395305498,0.183926875760119,0.123405257645335,0.127960933430556,0.0356020830974494,4
"age_moderation","11_to_19",11,19,-0.0123335765440786,-0.00252029974267877,-0.00742693814337868,0.31116970951138,0.320982986312779,0.31607634791208,0.308649409768701,-0.0240626999706378,4
"no_age_moderation","8_to_12",8,12,-0.0163633127168525,-0.0163633127168525,-0.0163633127168525,0.482464105721076,0.482464105721076,0.482464105721076,0.466100793004223,-0.0351068115790661,5
"no_age_moderation","12_to_16",12,16,-0.0135864270609032,-0.0135864270609032,-0.0135864270609032,0.0165178331022124,0.0165178331022124,0.0165178331022124,0.00293140604130926,-4.63478169501045,5
"no_age_moderation","16_to_19",16,19,0.00218251744104325,0.00218251744104325,0.00218251744104325,0.237883886965103,0.237883886965103,0.237883886965103,0.240066404406146,0.00909130724243635,5
"no_age_moderation","8_to_19",8,19,-0.0277672223367125,-0.0277672223367125,-0.0277672223367125,0.736865825788391,0.736865825788391,0.736865825788391,0.709098603451679,-0.039158478385869,5
"no_age_moderation","8_to_11",8,11,-0.0121435630553011,-0.0121435630553011,-0.0121435630553011,0.441659388407644,0.441659388407644,0.441659388407644,0.429515825352343,-0.028272678999288,5
"no_age_moderation","11_to_19",11,19,-0.0156236592814114,-0.0156236592814114,-0.0156236592814114,0.295206437380747,0.295206437380747,0.295206437380747,0.279582778099336,-0.0558820517759514,5
"age_moderation","8_to_12",8,12,0.013118493546441,-0.0274059759282612,-0.0071437411909101,0.523205495590353,0.482681026115651,0.502943260853002,0.495799519662092,-0.0144085278577496,5
"age_moderation","12_to_16",12,16,-0.0227551290759553,-0.0230395204330352,-0.0228973247544953,0.0198458859261608,0.019561494569081,0.0197036902476209,-0.00319363450687435,7.16967602435671,5
"age_moderation","16_to_19",16,19,0.00370105804513351,-0.00214139726830486,0.000779830388414326,0.236333515836882,0.230491060523444,0.233412288180163,0.234192118568577,0.00332987460543414,5
"age_moderation","8_to_19",8,19,0.0222610258283216,0.0272440682223398,0.0247525470253307,0.699553935501455,0.704536977895473,0.702045456698464,0.726798003723795,0.0340569826808955,5
"age_moderation","8_to_11",8,11,0.00973551360463176,-0.0134779129887299,-0.00187119969204907,0.471103002557405,0.447889575964043,0.459496289260724,0.457625089568675,-0.00408893597554437,5
"age_moderation","11_to_19",11,19,-0.017340406551313,0.0153292984866766,-0.00100555403231817,0.253843615668443,0.286513320706433,0.270178468187438,0.26917291415512,-0.003735717746618,5
"no_age_moderation","8_to_12",8,12,-0.002329159015936,-0.002329159015936,-0.002329159015936,0.151193779240783,0.151193779240783,0.151193779240783,0.148864620224847,-0.0156461556306529,6
"no_age_moderation","12_to_16",12,16,-0.0271846002189058,-0.0271846002189058,-0.0271846002189058,0.151279892657275,0.151279892657275,0.151279892657275,0.124095292438369,-0.219062300307699,6
"no_age_moderation","16_to_19",16,19,0.052936857165542,0.052936857165542,0.052936857165542,0.11356119586867,0.11356119586867,0.11356119586867,0.166498053034212,0.317942799935711,6
"no_age_moderation","8_to_19",8,19,0.0234230979307002,0.0234230979307002,0.0234230979307002,0.416034867766728,0.416034867766728,0.416034867766728,0.439457965697429,0.0532999735106115,6
"no_age_moderation","8_to_11",8,11,0.000753146906638413,0.000753146906638413,0.000753146906638413,0.11340096112117,0.11340096112117,0.11340096112117,0.114154108027808,0.00659763296871406,6
"no_age_moderation","11_to_19",11,19,0.0226699510240618,0.0226699510240618,0.0226699510240618,0.302633906645559,0.302633906645559,0.302633906645559,0.325303857669621,0.0696885403894762,6
"age_moderation","8_to_12",8,12,-0.00254675961574248,-0.00238731601093577,-0.00246703781333913,0.152055331895523,0.15221477550033,0.152135053697927,0.149668015884587,-0.0164834002693102,6
"age_moderation","12_to_16",12,16,-0.0278633751106927,-0.025972092553816,-0.0269177338322544,0.152106061969182,0.153997344526058,0.15305170324762,0.126133969415365,-0.213405904507872,6
"age_moderation","16_to_19",16,19,0.0505757282704278,0.0477965241629268,0.0491861262166773,0.115517578314337,0.112738374206836,0.114127976260587,0.163314102477264,0.301175008591342,6
"age_moderation","8_to_19",8,19,0.0256113899812593,0.0211486424801217,0.0233800162306905,0.417967445297095,0.413504697795958,0.415736071546526,0.439116087777217,0.0532433606544432,6
"age_moderation","8_to_11",8,11,0.000823509306760771,0.000784921295040979,0.000804215300900875,0.114059515381781,0.114020927370061,0.114040221375921,0.114844436676822,0.00700264918503607,6
"age_moderation","11_to_19",11,19,0.0236263697819146,0.0204686284738354,0.022047499127875,0.30380302262656,0.30064528131848,0.30222415197252,0.324271651100395,0.0679908313078192,6
"no_age_moderation","8_to_12",8,12,0.00014858896409109,0.00014858896409109,0.00014858896409109,0.126882792762845,0.126882792762845,0.126882792762845,0.127031381726936,0.00116970280942463,7
"no_age_moderation","12_to_16",12,16,-0.0211287852369968,-0.0211287852369968,-0.0211287852369968,0.137943872034494,0.137943872034494,0.137943872034494,0.116815086797497,-0.180873770813732,7
"no_age_moderation","16_to_19",16,19,0.0197336565020825,0.0197336565020825,0.0197336565020825,0.251426572563502,0.251426572563502,0.251426572563502,0.271160229065584,0.072774892431993,7
"no_age_moderation","8_to_19",8,19,-0.00124653977082326,-0.00124653977082326,-0.00124653977082326,0.516253237360841,0.516253237360841,0.516253237360841,0.515006697590018,-0.00242043409659809,7
"no_age_moderation","8_to_11",8,11,0.00343839195401371,0.00343839195401371,0.00343839195401371,0.101791202567177,0.101791202567177,0.101791202567177,0.10522959452119,0.0326751420991298,7
"no_age_moderation","11_to_19",11,19,-0.00468493172483697,-0.00468493172483697,-0.00468493172483697,0.414462034793664,0.414462034793664,0.414462034793664,0.409777103068827,-0.0114328782397831,7
"age_moderation","8_to_12",8,12,-0.000173076645886284,0.000170293549750417,-1.39154806793351e-06,0.177241662802174,0.17758503299781,0.177413347899992,0.177411956351924,-7.84359801079675e-06,7
"age_moderation","12_to_16",12,16,-0.0242150947207986,-0.039955624871542,-0.0320853597961703,0.114183934820605,0.0984434046698617,0.106313669745233,0.0742283099490632,-0.432252328231478,7
"age_moderation","16_to_19",16,19,0.0373173643300815,0.0356323855124865,0.036474874921284,0.288808873522987,0.287123894705392,0.287966384114189,0.324441259035473,0.112423663469066,7
"age_moderation","8_to_19",8,19,0.00145197137498257,-0.00225083403402504,-0.000399431329521233,0.578332359370486,0.574629553961478,0.576480956665982,0.576081525336461,-0.000693359033320753,7
"age_moderation","8_to_11",8,11,-0.00400504405078065,0.00243093404062391,-0.00078705500507837,0.153039884667553,0.159475862758957,0.156257873713255,0.155470818708176,-0.00506239699268386,7
"age_moderation","11_to_19",11,19,-0.00331223437008492,-0.00845942024487331,-0.00588582730747912,0.429070126873158,0.423922940998369,0.426496533935763,0.420610706628284,-0.0139935270660638,7
"no_age_moderation","8_to_12",8,12,0.00517715320351275,0.00517715320351275,0.00517715320351275,-0.107102579225367,-0.107102579225367,-0.107102579225367,-0.101925426021855,-0.0507935399985738,8
"no_age_moderation","12_to_16",12,16,-0.0225878581590573,-0.0225878581590573,-0.0225878581590573,0.0153453573513724,0.0153453573513724,0.0153453573513724,-0.00724250080768485,3.11879263238602,8
"no_age_moderation","16_to_19",16,19,0.0225397223312363,0.0225397223312363,0.0225397223312363,0.16737145149023,0.16737145149023,0.16737145149023,0.189911173821467,0.118685603788778,8
"no_age_moderation","8_to_19",8,19,0.00512901737569174,0.00512901737569174,0.00512901737569174,0.0756142296162352,0.0756142296162352,0.0756142296162352,0.0807432469919269,0.0635225553439108,8
"no_age_moderation","8_to_11",8,11,0.00598288482629705,0.00598288482629705,0.00598288482629705,-0.0819902581556615,-0.0819902581556615,-0.0819902581556615,-0.0760073733293645,-0.0787145320806086,8
"no_age_moderation","11_to_19",11,19,-0.00085386745060531,-0.00085386745060531,-0.00085386745060531,0.157604487771897,0.157604487771897,0.157604487771897,0.156750620321291,-0.00544729870194542,8
"age_moderation","8_to_12",8,12,0.00517754392142986,0.00517656321076565,0.00517705356609775,-0.107167672517463,-0.107168653228127,-0.107168162872795,-0.101991109306697,-0.0507598515330377,8
"age_moderation","12_to_16",12,16,-0.0225852840276817,-0.0225919008326882,-0.0225885924301849,0.0153463266276179,0.0153397098226114,0.0153430182251146,-0.0072455742050703,3.11757105660141,8
"age_moderation","16_to_19",16,19,0.0225437563897319,0.0225394293339592,0.0225415928618455,0.167333917569603,0.16732959051383,0.167331754041717,0.189873346903562,0.118719100018259,8
"age_moderation","8_to_19",8,19,0.00512940446081481,0.00512895070281563,0.00512917758181522,0.0755077126889795,0.0755072589309804,0.07550748580998,0.0806366633917952,0.0636085046933764,8
"age_moderation","8_to_11",8,11,0.00598333635249306,0.00598164634579486,0.00598249134914396,-0.0820540615530769,-0.0820557515597751,-0.082054906556426,-0.076072415207282,-0.0786420587915196,8
"age_moderation","11_to_19",11,19,-0.000853690696711091,-0.000853856351052034,-0.000853773523881562,0.157562934950129,0.157562769295788,0.157562852122959,0.156709078599077,-0.00544814334634592,8
"no_age_moderation","8_to_12",8,12,0.0504427274518928,0.0504427274518928,0.0504427274518928,0.00646289433573433,0.00646289433573433,0.00646289433573433,0.0569056217876271,0.886427840822934,9
"no_age_moderation","12_to_16",12,16,-0.0277716952310607,-0.0277716952310607,-0.0277716952310607,0.0887845041823798,0.0887845041823798,0.0887845041823798,0.0610128089513191,-0.455178112733987,9
"no_age_moderation","16_to_19",16,19,0.0354072714735341,0.0354072714735341,0.0354072714735341,0.210279562588163,0.210279562588163,0.210279562588163,0.245686834061697,0.144115461492913,9
"no_age_moderation","8_to_19",8,19,0.0580783036943662,0.0580783036943662,0.0580783036943662,0.305526961106277,0.305526961106277,0.305526961106277,0.363605264800643,0.159728995470429,9
"no_age_moderation","8_to_11",8,11,0.080161595233998,0.080161595233998,0.080161595233998,0.00846467219305858,0.00846467219305858,0.00846467219305858,0.0886262674270566,0.904490255103822,9
"no_age_moderation","11_to_19",11,19,-0.0220832915396318,-0.0220832915396318,-0.0220832915396318,0.297062288913218,0.297062288913218,0.297062288913218,0.274978997373586,-0.0803090117811052,9
"age_moderation","8_to_12",8,12,-0.0886440903154857,0.0994274860143198,0.00539169784941706,-0.0419148484612725,0.146156727868533,0.0521209397036302,0.0575126375530473,0.0937480539723809,9
"age_moderation","12_to_16",12,16,-0.0547406926362899,-0.0400803809227526,-0.0474105367795212,0.0307930188788541,0.0454533305923914,0.0381231747356228,-0.00928736204389849,5.10484425560523,9
"age_moderation","16_to_19",16,19,0.0511001188903784,0.0149126582261774,0.0330063885582779,0.30303836601322,0.266850905349019,0.28494463568112,0.317951024239398,0.103809662627242,9
"age_moderation","8_to_19",8,19,-0.102062252739279,0.0244611306465008,-0.0388005610463889,0.341715169102046,0.468238552487825,0.404976860794935,0.366176299748546,-0.105961420968624,9
"age_moderation","8_to_11",8,11,-0.140869696122851,0.113720564940956,-0.0135745655909472,-0.0101854170228104,0.244404844040997,0.117109713509093,0.103535147918146,-0.131110698771388,9
"age_moderation","11_to_19",11,19,-0.0313282736241969,-0.00930093072790817,-0.0203146021760525,0.271942082558309,0.293969425454597,0.282955754006453,0.2626411518304,-0.0773473693458769,9
"no_age_moderation","8_to_12",8,12,0.00536073534643222,0.00536073534643222,0.00536073534643222,0.0459881090200183,0.0459881090200183,0.0459881090200183,0.0513488443664505,0.104398364025009,10
"no_age_moderation","12_to_16",12,16,-0.00701357414315495,-0.00701357414315495,-0.00701357414315495,0.100338121780622,0.100338121780622,0.100338121780622,0.0933245476374669,-0.0751525115385528,10
"no_age_moderation","16_to_19",16,19,0.0105404046944413,0.0105404046944413,0.0105404046944413,0.104072912123872,0.104072912123872,0.104072912123872,0.114613316818313,0.0919649215906568,10
"no_age_moderation","8_to_19",8,19,0.00888756589771855,0.00888756589771855,0.00888756589771855,0.250399142924512,0.250399142924512,0.250399142924512,0.259286708822231,0.0342769821796456,10
"no_age_moderation","8_to_11",8,11,0.00780621358443767,0.00780621358443767,0.00780621358443767,0.0315786388617045,0.0315786388617045,0.0315786388617045,0.0393848524461422,0.198203448777991,10
"no_age_moderation","11_to_19",11,19,0.00108135231328088,0.00108135231328088,0.00108135231328088,0.218820504062808,0.218820504062808,0.218820504062808,0.219901856376088,0.00491743149012572,10
"age_moderation","8_to_12",8,12,0.00536324233197006,0.00535979437811168,0.00536151835504087,0.0459612191756308,0.0459577712217725,0.0459594951987017,0.0513210135537425,0.104470235168415,10
"age_moderation","12_to_16",12,16,-0.0070123430525202,-0.00701350836166445,-0.00701292570709232,0.100346607841928,0.100345442532784,0.100346025187356,0.0933330994802635,-0.0751386779839589,10
"age_moderation","16_to_19",16,19,0.0105403058342141,0.0105419250357754,0.0105411154349948,0.104076371563955,0.104077990765516,0.104077181164735,0.11461829659973,0.0919671269571073,10
"age_moderation","8_to_19",8,19,0.00889172223033528,0.00888884783462629,0.00889028503248078,0.25038356179911,0.250380687403401,0.250382124601255,0.259272409633736,0.0342893601561375,10
"age_moderation","8_to_11",8,11,0.00780986421505012,0.00780552340341025,0.00780769380923019,0.0315550602476437,0.0315507194360038,0.0315528898418238,0.0393605836510539,0.198363263066632,10
"age_moderation","11_to_19",11,19,0.00108125670625595,0.00108150828685805,0.001081382496557,0.218830317695824,0.218830569276426,0.218830443486125,0.219911825982682,0.00491734581223548,10
"no_age_moderation","8_to_12",8,12,-0.0296619354583001,-0.0296619354582992,-0.0296619354582996,0.352763524493905,0.352763524493906,0.352763524493905,0.323101589035605,-0.0918037436672307,11
"no_age_moderation","12_to_16",12,16,-0.0172792975795835,-0.0172792975795835,-0.0172792975795835,0.0472159874349884,0.0472159874349884,0.0472159874349884,0.029936689855405,-0.577194661902934,11
"no_age_moderation","16_to_19",16,19,0.0179564368972391,0.0179564368972391,0.0179564368972391,0.290962733602601,0.290962733602601,0.290962733602601,0.30891917049984,0.0581266512796376,11
"no_age_moderation","8_to_19",8,19,-0.0289847961406444,-0.0289847961406435,-0.028984796140644,0.690942245531494,0.690942245531495,0.690942245531495,0.661957449390851,-0.0437864943846715,11
"no_age_moderation","8_to_11",8,11,-0.0222822313755735,-0.0222822313755735,-0.0222822313755735,0.35497933904885,0.35497933904885,0.35497933904885,0.332697107673277,-0.0669745268644043,11
"no_age_moderation","11_to_19",11,19,-0.00670256476507003,-0.00670256476507003,-0.00670256476507003,0.335962906482644,0.335962906482644,0.335962906482644,0.329260341717574,-0.0203564289890072,11
"age_moderation","8_to_12",8,12,0.00233549472526338,-0.0449773308519843,-0.0213209180633604,0.388173257135832,0.340860431558584,0.364516844347208,0.343195926283847,-0.0621246245380154,11
"age_moderation","12_to_16",12,16,-0.026201145411413,-0.0194864604329155,-0.0228438029221642,0.0471520409913376,0.0538667259698352,0.0505093834805864,0.0276655805584222,-0.825712038607841,11
"age_moderation","16_to_19",16,19,0.0202500938190702,0.00484723961930911,0.0125486667191897,0.296985207140151,0.28158235294039,0.28928378004027,0.30183244675946,0.0415749428330682,11
