"model","contrast","age0","age1","effect","estimate","boot_se","ci_low","ci_high","p_boot","n_boot_success"
"no_age_moderation","8_to_12",8,12,"ACME_at_age0",0.0112352378436196,0.0238420259355394,-0.0345751118077713,0.0599879281927037,0.758,1000
"no_age_moderation","8_to_12",8,12,"ACME_at_age1",0.0112352378436196,0.0238420259355394,-0.0345751118077717,0.0599879281927037,0.758,1000
"no_age_moderation","8_to_12",8,12,"ACME_avg",0.0112352378436196,0.0238420259355394,-0.0345751118077715,0.0599879281927037,0.758,1000
"no_age_moderation","8_to_12",8,12,"ADE_Ma0",0.115125382278134,0.274862409387622,-0.213933635599341,0.899570468412145,0.414,1000
"no_age_moderation","8_to_12",8,12,"ADE_Ma1",0.115125382278134,0.274862409387622,-0.213933635599341,0.899570468412145,0.414,1000
"no_age_moderation","8_to_12",8,12,"ADE_avg",0.115125382278134,0.274862409387622,-0.213933635599341,0.899570468412145,0.414,1000
"no_age_moderation","8_to_12",8,12,"Total_effect",0.126360620121753,0.275641120747231,-0.223850886384641,0.896766920717247,0.388,1000
"no_age_moderation","8_to_12",8,12,"Prop_med_avg",0.0889140764962534,1.37413598416053,-1.18209040791934,1.55515194539125,0.77,1000
"no_age_moderation","12_to_16",12,16,"ACME_at_age0",-0.0240122243483394,0.0124744953986162,-0.0518747963173811,-0.00424680416236162,0.002,1000
"no_age_moderation","12_to_16",12,16,"ACME_at_age1",-0.0240122243483394,0.0124744953986162,-0.0518747963173811,-0.00424680416236162,0.002,1000
"no_age_moderation","12_to_16",12,16,"ACME_avg",-0.0240122243483394,0.0124744953986162,-0.0518747963173811,-0.00424680416236162,0.002,1000
"no_age_moderation","12_to_16",12,16,"ADE_Ma0",0.115989836573389,0.0760248642598035,-0.0488889848768258,0.249655704438959,0.15,1000
"no_age_moderation","12_to_16",12,16,"ADE_Ma1",0.115989836573389,0.0760248642598035,-0.0488889848768258,0.249655704438959,0.15,1000
"no_age_moderation","12_to_16",12,16,"ADE_avg",0.115989836573389,0.0760248642598035,-0.0488889848768258,0.249655704438959,0.15,1000
"no_age_moderation","12_to_16",12,16,"Total_effect",0.0919776122250498,0.0770863651464388,-0.0749423607478038,0.223707636891068,0.286,1000
"no_age_moderation","12_to_16",12,16,"Prop_med_avg",-0.26106596776601,12.7626157806271,-3.07350278296969,3.72284672899957,0.288,1000
"no_age_moderation","16_to_19",16,19,"ACME_at_age0",0.0286869734105681,0.0198150568241686,-0.00739558519546946,0.0691101205390078,0.18,1000
"no_age_moderation","16_to_19",16,19,"ACME_at_age1",0.0286869734105681,0.0198150568241686,-0.00739558519546947,0.0691101205390078,0.18,1000
"no_age_moderation","16_to_19",16,19,"ACME_avg",0.0286869734105681,0.0198150568241686,-0.00739558519546946,0.0691101205390078,0.18,1000
