hemi,label,n_vert,effect,t,p_uncorrected,q_fdr,significant
lh,1,8,0.0234375,1.881043745383802e-08,0.9999999850240338,0.9999999894893549,False
lh,2,8,0.125,1.1014464148563336e-07,0.9999999123081306,0.9999999894893549,False
lh,3,8,0.03125,2.3439213121946305e-08,0.9999999813388252,0.9999999894893549,False
lh,4,8,0.25,1.859406029016602e-07,0.9999998519630292,0.9999999894893549,False
lh,5,8,0.0625,5.3299169774986784e-08,0.9999999575657629,0.9999999894893549,False
lh,6,8,0.015625,1.3313743339743838e-08,0.9999999894002375,0.9999999894893549,False
rh,1,8,0.125,9.969198475197226e-08,0.9999999206300334,0.9999999894893549,False
rh,2,8,0.0625,5.0658161132445226e-08,0.999999959668407,0.9999999894893549,False
rh,3,8,0.015625,1.533035185471965e-08,0.9999999877947108,0.9999999894893549,False
rh,4,8,0.015625,1.3201808092722263e-08,0.999999989489355,0.9999999894893549,False
rh,5,8,0.0625,4.846319150268905e-08,0.9999999614159363,0.9999999894893549,False
rh,6,8,0.015625,1.5956225675927302e-08,0.99999998729642,0.9999999894893549,False
