hemi,label,n_vert,effect,t,p_uncorrected,q_fdr,significant
lh,1,8,0.625,0.1463464120507344,0.8839041601189783,0.9999998955532394,False
lh,2,8,0.5,0.11707712964058752,0.9070031577790815,0.9999998955532394,False
lh,3,8,0.125,1.3118948281277433e-07,0.9999998955532394,0.9999998955532394,False
lh,4,8,0.25,0.05853856482029376,0.9534212433764555,0.9999998955532394,False
lh,5,8,0.25,0.05853856482029376,0.9534212433764555,0.9999998955532394,False
lh,6,8,0.375,6.364944989010532e-07,0.9999994932536731,0.9999998955532394,False
rh,1,8,0.25,0.05853856482029376,0.9534212433764555,0.9999998955532394,False
rh,2,8,0.125,0.02926928241014688,0.9767005598797741,0.9999998955532394,False
rh,3,8,0.25,3.5729309369648416e-07,0.9999997155404121,0.9999998955532394,False
rh,4,8,0.25,0.05853856482029376,0.9534212433764555,0.9999998955532394,False
rh,5,8,0.375,4.5309628757633824e-07,0.9999996392665139,0.9999998955532394,False
rh,6,8,0.1875,5.322406492751226e-07,0.9999995762555772,0.9999998955532394,False
