hemi,label,n_vert,partial_r2,F_age,p_age,q_age,significant_fdr,age_of_max_change
lh,1,8,0.37661344,39477.746,3.0880406e-17,4.6320608834254703e-17,True,18.793497
lh,2,8,0.3742285,39078.246,3.8919453e-17,5.1892604422437784e-17,True,6.385126
lh,3,8,0.4798864,60291.24,5.592309e-22,3.3553853524261357e-21,True,18.793497
lh,4,8,0.50503623,40.491478,1.3803566e-17,2.3663255517652604e-17,True,6.813951
lh,5,8,0.45407343,54350.78,1.0277258e-20,4.110903144337857e-20,True,6.385126
lh,6,8,0.28500587,26047.453,1.3124952e-13,1.4318129127881904e-13,True,18.793497
rh,1,8,0.40865898,45158.24,1.2688982e-18,3.0453555878007397e-18,True,18.793497
rh,2,8,0.40387398,44271.246,2.0646325e-18,4.1292649383494e-18,True,18.793497
rh,3,8,0.4416491,51687.33,3.9818875e-20,1.194566257711206e-19,True,18.793497
rh,4,8,0.5122418,68625.31,1.1871104e-23,1.4245324694950484e-22,True,6.385126
rh,5,8,0.32385802,514.35736,3.2318283e-13,3.231828324921915e-13,True,18.793497
rh,6,8,0.36254898,37164.973,1.1944638e-16,1.4333565119424563e-16,True,6.385126
