feature,latent_dim,final_encoding_weight,mean_boot_encoding_weight,std_boot_encoding_weight,bsr,abs_bsr,bsr_threshold,bsr_selected,bsr_thresholded_weight,top_bsr_percent,top_bsr_cutoff,top_bsr_selected,top_bsr_weight,bsr_sign,fdr_method,fdr_q,fdr_t_value,fdr_p_unc,fdr_p_fdr,fdr_selected,fdr_final_selected,unc_p_threshold,fdr_thresholded_weight,fdr_sign
feature_0,0,0.049879145267156436,0.04218245627598366,0.03605040199170756,1.1700966964442343,1.1700966964442343,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.2483503299340132,0.3765835068280462,False,False,0.005,0.0,zero
feature_1,0,-0.022665279312882976,-0.02131924573351463,0.03430997295211695,-0.6213716858147281,0.6213716858147281,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.519496100779844,0.631010970580753,False,False,0.005,0.0,zero
feature_2,0,-0.20072577098435335,-0.17672917998230445,0.03369268423291642,-5.245327999413209,5.245327999413209,3.0,True,-0.20072577098435335,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.20072577098435335,negative
feature_3,0,-0.0419332935206674,-0.03824334085964501,0.03846835182613287,-0.9941507510510237,0.9941507510510237,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.3079384123175365,0.44626166791181643,False,False,0.005,0.0,zero
feature_4,0,-0.11363973426577893,-0.09976987351148804,0.031180888749968987,-3.1997123081229453,3.1997123081229453,3.0,True,-0.11363973426577893,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0027994401119776045,0.010824501766313405,True,True,0.005,-0.11363973426577893,negative
feature_5,0,0.03959929299091778,0.033840082528318584,0.03408332648465058,0.9928632565708766,0.9928632565708766,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.3131373725254949,0.44626166791181643,False,False,0.005,0.0,zero
feature_6,0,-0.029071141596157875,-0.02559601927583385,0.029564364231105096,-0.8657726943068813,0.8657726943068813,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.383123375324935,0.5060806020614059,False,False,0.005,0.0,zero
feature_7,0,-0.26821485552912905,-0.23712351670478657,0.04218290546993129,-5.621317784139178,5.621317784139178,3.0,True,-0.26821485552912905,10,5.612873764799786,True,-0.26821485552912905,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.26821485552912905,negative
feature_8,0,-0.10681608263720681,-0.09361665590911439,0.028725319585733017,-3.2590292208832694,3.2590292208832694,3.0,True,-0.10681608263720681,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0015996800639872025,0.0067477413608187445,True,True,0.005,-0.10681608263720681,negative
feature_9,0,0.016557760467633655,0.013898227187523681,0.03065621109872076,0.4533576293158953,0.4533576293158953,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.6434713057388523,0.7161843821711847,False,False,0.005,0.0,zero
feature_10,0,-0.08668617714887801,-0.0782670777258193,0.034725370671681015,-2.253887466481304,2.253887466481304,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.025994801039792043,0.06282076917949743,False,False,0.005,0.0,zero
feature_11,0,0.02168046499900208,0.017406657271319157,0.03493228683831077,0.49829710124299714,0.49829710124299714,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.627874425114977,0.7105700811057302,False,False,0.005,0.0,zero
feature_12,0,-0.026470598321895116,-0.02511321301278706,0.03149571357674596,-0.7973533589449692,0.7973533589449692,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.4231153769246151,0.5438735457328423,False,False,0.005,0.0,zero
feature_13,0,-0.02847300517179231,-0.026668356045620182,0.03638569272691215,-0.732935229398431,0.732935229398431,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.45550889822035595,0.5774757616782654,False,False,0.005,0.0,zero
