feature,latent_dim,full_weight,mean_boot_weight,p_unc,p_fdr,fdr_significant,final_significant,thresholded_weight,sign
feature_0,0,0.3864533100776213,0.37111197774846794,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_1,0,0.8547443232667988,0.618682136830816,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_2,0,0.7942407929616342,0.6266747327372997,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_3,0,0.22392716276498478,0.276165007056677,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_4,0,0.985001105165654,0.6593618206007054,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_5,0,0.7174729992843061,0.5645723922600511,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_6,0,0.823851600272584,0.6056849328326285,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_7,0,0.5500720092597483,0.5079670914600662,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_8,0,0.16768409060295753,0.01397734046863589,1.0,1.0,False,False,0.0,zero
feature_9,0,-0.27580365487694436,-0.1912887996661173,0.6666666666666666,0.9606625258799171,False,False,0.0,zero
feature_10,0,-0.1946361323096657,-0.0979183650460161,0.6666666666666666,0.9606625258799171,False,False,0.0,zero
feature_11,0,0.05568395433099589,0.12552252615480397,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_12,0,0.19716986001998363,0.26590246016894803,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_13,0,0.07623039919202784,-0.0054532849005849175,1.0,1.0,False,False,0.0,zero
feature_14,0,0.06031219531283981,0.04368732745937364,1.0,1.0,False,False,0.0,zero
feature_15,0,-0.028590106269088925,-0.02853987191916771,1.0,1.0,False,False,0.0,zero
feature_16,0,-0.1736214479097757,0.008259021875907354,1.0,1.0,False,False,0.0,zero
feature_17,0,-0.12134666973314416,-0.0719527095412382,1.0,1.0,False,False,0.0,zero
feature_18,0,0.04025983779672873,0.019207568606136868,1.0,1.0,False,False,0.0,zero
feature_19,0,-0.0012023300634566427,0.07209383881295774,1.0,1.0,False,False,0.0,zero
feature_20,0,-0.031281022802517496,0.0052496848148655345,1.0,1.0,False,False,0.0,zero
feature_21,0,0.30246520685364,-0.017339701889030664,1.0,1.0,False,False,0.0,zero
feature_22,0,0.08752423190922164,-0.06283882951347082,1.0,1.0,False,False,0.0,zero
feature_23,0,-0.34288393947786117,-0.1465643799381658,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_24,0,0.14553792178506694,0.23868721907657484,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_25,0,-0.3682355897303872,-0.2355574800338744,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_26,0,0.29926377308004665,0.3260928658182424,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_27,0,-0.07988163352790785,0.037606345814980055,1.0,1.0,False,False,0.0,zero
feature_28,0,0.0516240694992828,0.10664565471986576,0.6666666666666666,0.9606625258799171,False,False,0.0,zero
feature_29,0,-0.30497183024670765,-0.13403094002195487,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_30,0,0.5755633746435819,0.39280610685895645,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_31,0,-0.2930487247269927,-0.1898155339631734,0.3333333333333333,0.7581699346405228,False,False,0.0,zero
feature_32,0,-0.17196895170090928,-0.053273499760103774,0.6666666666666666,0.9606625258799171,False,False,0.0,zero
