feature,latent_dim,final_encoding_weight,mean_boot_encoding_weight,std_boot_encoding_weight,bsr,abs_bsr,bsr_threshold,bsr_selected,bsr_thresholded_weight,top_bsr_percent,top_bsr_cutoff,top_bsr_selected,top_bsr_weight,bsr_sign,fdr_method,fdr_q,fdr_t_value,fdr_p_unc,fdr_p_fdr,fdr_selected,fdr_final_selected,unc_p_threshold,fdr_thresholded_weight,fdr_sign
feature_0,0,0.05227018884588756,0.04416152462313802,0.006229056659602836,7.0896007271113435,7.0896007271113435,3.0,True,0.05227018884588756,10,2.657663697061278,True,0.05227018884588756,positive,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_1,0,0.04316246676468795,0.041613151409063756,0.020044622079932392,2.0760257411250786,2.0760257411250786,3.0,False,0.0,10,2.657663697061278,False,0.0,zero,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_2,0,0.07076959345738847,0.058193540536166544,0.007879645915358072,7.385298928565127,7.385298928565127,3.0,True,0.07076959345738847,10,2.657663697061278,True,0.07076959345738847,positive,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_3,0,0.04901111140188714,0.039803099372266046,0.008025839990933844,4.95936866636121,4.95936866636121,3.0,True,0.04901111140188714,10,2.657663697061278,True,0.04901111140188714,positive,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_4,0,0.07337113459791748,0.05996519959402126,0.014035794893130223,4.27230520612488,4.27230520612488,3.0,True,0.07337113459791748,10,2.657663697061278,True,0.07337113459791748,positive,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_5,0,0.06659118791690194,0.050330965414898385,0.011439553039396356,4.399731811336071,4.399731811336071,3.0,True,0.06659118791690194,10,2.657663697061278,True,0.06659118791690194,positive,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_6,0,0.09499115377019138,0.06775403346896842,0.01173759478060192,5.7723950038675556,5.7723950038675556,3.0,True,0.09499115377019138,10,2.657663697061278,True,0.09499115377019138,positive,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_7,0,0.058122682296130386,0.046779184335344885,0.010244715745270265,4.56617689533667,4.56617689533667,3.0,True,0.058122682296130386,10,2.657663697061278,True,0.058122682296130386,positive,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_8,0,-0.00278559809252662,-0.0030569839647956645,0.008374624050864988,-0.3650293966903408,0.3650293966903408,3.0,False,0.0,10,2.657663697061278,False,0.0,zero,sign,0.05,,0.6666666666666666,0.9488752556237218,False,False,0.005,0.0,zero
feature_9,0,-0.018876865539156188,-0.013345688674007034,0.014760150412531429,-0.9041702354656554,0.9041702354656554,3.0,False,0.0,10,2.657663697061278,False,0.0,zero,sign,0.05,,0.6666666666666666,0.9488752556237218,False,False,0.005,0.0,zero
feature_10,0,0.015628705131293,0.019508083580570275,0.01187323056663356,1.643030805397847,1.643030805397847,3.0,False,0.0,10,2.657663697061278,False,0.0,zero,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_11,0,-0.020559835195349097,-0.01378728265238996,0.009388718096616113,-1.468494688040445,1.468494688040445,3.0,False,0.0,10,2.657663697061278,False,0.0,zero,sign,0.05,,0.6666666666666666,0.9488752556237218,False,False,0.005,0.0,zero
feature_12,0,0.021610169619897656,0.03026791301066447,0.01128010940676198,2.6832995957042804,2.6832995957042804,3.0,False,0.0,10,2.657663697061278,True,0.021610169619897656,zero,sign,0.05,,0.3333333333333333,0.9488752556237218,False,False,0.005,0.0,zero
feature_13,0,0.007393118711065239,0.002288193031001957,0.007018063316243905,0.3260433723511356,0.3260433723511356,3.0,False,0.0,10,2.657663697061278,False,0.0,zero,sign,0.05,,1.0,1.0,False,False,0.005,0.0,zero
feature_14,0,0.004226931974249519,0.0023879983993647528,0.00788697877270688,0.3027773331441554,0.3027773331441554,3.0,False,0.0,10,2.657663697061278,False,0.0,zero,sign,0.05,,1.0,1.0,False,False,0.005,0.0,zero
