map,network_label,network_name,n_network_voxels,n_encoded_voxels,n_positive_voxels,n_negative_voxels,voxel_pct_of_network,voxel_pct_of_global_encoded,positive_voxel_pct_of_network,negative_voxel_pct_of_network,sum_weight,sum_abs_weight,sum_positive_weight,sum_negative_weight,mean_weight,mean_nonzero_weight,mean_abs_weight,l2_norm,cosine_similarity_binary_network,dice_coefficient_binary_network,abs_weight_contribution_pct_global,positive_weight_contribution_pct_global,l2_contribution_pct_global,map_normalization
negative_weights,1,visual,8737,3419,0,3419,39.13242531761474,12.481290840725732,0.0,39.13242531761474,-41.320328130881535,41.320328130881535,0.0,-41.320328130881535,-0.004729349677335646,-0.012085501061971786,0.004729349677335646,0.8044041344655154,0.14058088787589906,0.1892610019374481,9.876814821588766,0.0,25.581027360023796,none
negative_weights,2,som/motor,11926,7316,0,7316,61.34496059030689,26.707553024495308,0.0,61.34496059030689,-131.60357634045067,131.60357634045067,0.0,-131.60357634045067,-0.011035013947715132,-0.01798846040738801,0.011035013947715132,1.8839547972603228,0.38323395136590666,0.3721356087387777,31.457256323238234,0.0,59.91204812216246,none
negative_weights,3,dAttn,6835,1986,0,1986,29.056327724945135,7.2500273792574745,0.0,29.056327724945135,-29.207091279808083,29.207091279808083,0.0,-29.207091279808083,-0.004273166244302572,-0.014706491077446164,0.004273166244302572,0.8035638510890043,0.11234732507703793,0.11604534299403997,6.981382895464197,0.0,25.554305329238876,none
negative_weights,4,vAttn,7215,3822,0,3822,52.972972972972975,13.952469609024202,0.0,52.972972972972975,-62.43474484619219,62.43474484619219,0.0,-62.43474484619219,-0.008653464289146526,-0.016335621362164363,0.008653464289146526,1.219233577935162,0.2337501302747582,0.220873786407767,14.923802427844562,0.0,38.773106923602164,none
negative_weights,5,limbic,4506,1687,0,1687,37.43897026187306,6.158507647939254,0.0,37.43897026187306,-17.200825008301763,17.200825008301763,0.0,-17.200825008301763,-0.0038173158029963968,-0.0101961025538244,0.0038173158029963968,0.6262236082130923,0.08148869671558599,0.10577134079438227,4.111520190435746,0.0,19.91467046080764,none
negative_weights,6,control,7712,2862,0,2862,37.11099585062241,10.44792465228343,0.0,37.11099585062241,-43.110115044692066,43.110115044692066,0.0,-43.110115044692066,-0.005590004544176875,-0.015062933279067808,0.005590004544176875,0.9787758012892398,0.15611310420376118,0.16305369605469305,10.304628314787962,0.0,31.126257908589395,none
negative_weights,7,default,12347,6301,0,6301,51.03263950757269,23.002226846274596,0.0,51.03263950757269,-93.48013657543925,93.48013657543925,0.0,-93.48013657543925,-0.007571080956948186,-0.014835762033873868,0.007571080956948186,1.486384777528129,0.267536044793008,0.3171112229491696,22.34459502664029,0.0,47.26883917215867,none
positive_weights,1,visual,8737,5298,5298,0,60.63866315668994,16.994931673830756,60.63866315668994,0.0,162.1850396937807,162.1850396937807,162.1850396937807,0.0,0.01856301244062959,0.030612502773458044,0.01856301244062959,2.9571155492867915,0.4294748777986346,0.2654907168449801,32.15359369733635,32.15359369733635,73.19416085437378,none
positive_weights,2,som/motor,11926,4610,4610,0,38.65503940969311,14.787964329248734,38.65503940969311,0.0,49.8732453614939,49.8732453614939,49.8732453614939,0.0,0.0041818921148326265,0.010818491401625574,0.0041818921148326265,0.8682960796875513,0.11303901599665672,0.21392111368909514,9.887496841563081,9.887496841563081,21.491957911891888,none
positive_weights,3,dAttn,6835,4849,4849,0,70.94367227505487,15.55462885738115,70.94367227505487,0.0,77.91031660477165,77.91031660477165,77.91031660477165,0.0,0.011398729569096072,0.016067295649571385,0.011398729569096072,1.542036691580774,0.23325655165307768,0.25515009602988764,15.445917019661636,15.445917019661636,38.16830278212547,none
positive_weights,4,vAttn,7215,3391,3391,0,46.999306999307,10.877654455636106,46.999306999307,0.0,47.633194933107006,47.633194933107006,47.633194933107006,0.0,0.006601967419696051,0.014046946308790035,0.006601967419696051,0.9632098694610829,0.13880326620390668,0.17666519054937613,9.443401187168032,9.443401187168032,23.841252378135394,none
positive_weights,5,limbic,4506,2715,2715,0,60.25299600532623,8.709180727529352,60.25299600532623,0.0,37.74285502982093,37.74285502982093,37.74285502982093,0.0,0.008376132940484006,0.013901604062549146,0.008376132940484006,0.8339200784908468,0.1391705349034067,0.15218609865470853,7.482616324524452,7.482616324524452,20.641087352664474,none
positive_weights,6,control,7712,4479,4479,0,58.07831950207469,14.367742349393726,58.07831950207469,0.0,47.806943734685774,47.806943734685774,47.806943734685774,0.0,0.006199033160617968,0.010673575292405844,0.006199033160617968,0.9625503472929412,0.13474591603555694,0.23036568430797716,9.477847325861902,9.477847325861902,23.82492796643845,none
positive_weights,7,default,12347,5832,5832,0,47.234145946383734,18.707897606980175,47.234145946383734,0.0,81.2555985020299,81.2555985020299,81.2555985020299,0.0,0.006580999311738066,0.013932715792529133,0.006580999311738066,1.377077351122109,0.18100089012843476,0.2680085475977115,16.109127603884346,16.109127603884346,34.08524944899651,none
