roi,roi_label,age_i_center,age_j_center,n_pairs_local,conditional_coupling
R_101,RH_Vis_1,8.1,8.1,3.0,0.024946840537294308
R_101,RH_Vis_1,8.1,8.3,6.0,0.09439858012953928
R_101,RH_Vis_1,8.1,8.5,6.0,0.09439858012953928
R_101,RH_Vis_1,8.1,8.7,9.0,0.13377895283972838
R_101,RH_Vis_1,8.1,8.9,9.0,0.13377895283972838
R_101,RH_Vis_1,8.1,9.1,12.0,0.16358094508581536
R_101,RH_Vis_1,8.1,9.3,11.0,0.18447555004559482
R_101,RH_Vis_1,8.1,9.5,14.0,0.20718455217627607
R_101,RH_Vis_1,8.1,9.7,12.0,0.2299569582820186
R_101,RH_Vis_1,8.1,9.9,15.0,0.24793639514167004
R_101,RH_Vis_1,8.1,10.1,12.0,0.2689579139966415
R_101,RH_Vis_1,8.1,10.3,15.0,0.286153360041521
R_101,RH_Vis_1,8.1,10.5,15.0,0.31801671456562686
R_101,RH_Vis_1,8.1,10.7,12.0,0.3342741627510144
R_101,RH_Vis_1,8.1,10.9,15.0,0.3468735328182398
R_101,RH_Vis_1,8.1,11.1,12.0,0.360979192692273
R_101,RH_Vis_1,8.1,11.3,15.0,0.3705830488119003
R_101,RH_Vis_1,8.1,11.5,12.0,0.3832652753698065
R_101,RH_Vis_1,8.1,11.7,15.0,0.39189477598893874
R_101,RH_Vis_1,8.1,11.9,12.0,0.4011346839309136
R_101,RH_Vis_1,8.1,12.1,15.0,0.40644706381039736
R_101,RH_Vis_1,8.1,12.3,12.0,0.4150947120428377
R_101,RH_Vis_1,8.1,12.5,15.0,0.4200228873221114
R_101,RH_Vis_1,8.1,12.700000000000001,12.0,0.42571085588085383
R_101,RH_Vis_1,8.1,12.9,15.0,0.4269463203017925
R_101,RH_Vis_1,8.1,13.1,15.0,0.43154454574345863
R_101,RH_Vis_1,8.1,13.3,12.0,0.43282748756295636
R_101,RH_Vis_1,8.1,13.5,15.0,0.4308391257046423
R_101,RH_Vis_1,8.1,13.700000000000001,12.0,0.4316247612987197
R_101,RH_Vis_1,8.1,13.9,15.0,0.42672224333021175
R_101,RH_Vis_1,8.1,14.1,12.0,0.4234689070529632
R_101,RH_Vis_1,8.1,14.3,15.0,0.41760049444877456
R_101,RH_Vis_1,8.1,14.5,12.0,0.41402857356458145
R_101,RH_Vis_1,8.1,14.700000000000001,15.0,0.4055559745942057
R_101,RH_Vis_1,8.1,14.9,12.0,0.3989475681180721
R_101,RH_Vis_1,8.1,15.1,15.0,0.38814914359666813
R_101,RH_Vis_1,8.1,15.3,12.0,0.37946500992798865
R_101,RH_Vis_1,8.1,15.5,15.0,0.36773395585011953
R_101,RH_Vis_1,8.1,15.700000000000001,15.0,0.34302033648460944
R_101,RH_Vis_1,8.1,15.9,12.0,0.3302437095977568
R_101,RH_Vis_1,8.1,16.1,15.0,0.3131397736275326
R_101,RH_Vis_1,8.1,16.3,12.0,0.29850832235624003
R_101,RH_Vis_1,8.1,16.5,15.0,0.27802996529936724
R_101,RH_Vis_1,8.1,16.700000000000003,12.0,0.261298595246446
R_101,RH_Vis_1,8.1,16.9,15.0,0.2422733008253898
R_101,RH_Vis_1,8.1,17.1,12.0,0.22263919114707645
R_101,RH_Vis_1,8.1,17.3,15.0,0.20122963610785236
R_101,RH_Vis_1,8.1,17.5,12.0,0.1806510264776582
R_101,RH_Vis_1,8.1,17.700000000000003,12.0,0.1806510264776582
R_101,RH_Vis_1,8.1,17.9,9.0,0.15929335872133232
R_101,RH_Vis_1,8.3,8.1,3.0,0.024946840537294308
R_101,RH_Vis_1,8.3,8.3,6.0,0.09439858012953928
R_101,RH_Vis_1,8.3,8.5,6.0,0.09439858012953928
R_101,RH_Vis_1,8.3,8.7,10.0,0.1642250455930929
R_101,RH_Vis_1,8.3,8.9,10.0,0.1642250455930929
R_101,RH_Vis_1,8.3,9.1,14.0,0.20499495906996018
R_101,RH_Vis_1,8.3,9.3,13.0,0.22586070280393855
R_101,RH_Vis_1,8.3,9.5,17.0,0.25347469999885447
R_101,RH_Vis_1,8.3,9.7,15.0,0.27786464459312565
R_101,RH_Vis_1,8.3,9.9,19.0,0.2983701377893044
R_101,RH_Vis_1,8.3,10.1,16.0,0.3235926036769645
R_101,RH_Vis_1,8.3,10.3,20.0,0.34033770868396895
R_101,RH_Vis_1,8.3,10.5,20.0,0.37213332605065663
R_101,RH_Vis_1,8.3,10.7,16.0,0.38843672187278866
R_101,RH_Vis_1,8.3,10.9,20.0,0.4014778547687582
R_101,RH_Vis_1,8.3,11.1,16.0,0.41604227074036493
R_101,RH_Vis_1,8.3,11.3,20.0,0.42555593706574085
R_101,RH_Vis_1,8.3,11.5,16.0,0.4381284870134323
R_101,RH_Vis_1,8.3,11.7,20.0,0.4469944538607467
R_101,RH_Vis_1,8.3,11.9,16.0,0.4569135351479366
R_101,RH_Vis_1,8.3,12.1,20.0,0.4620914600657728
R_101,RH_Vis_1,8.3,12.3,16.0,0.4706286174267507
R_101,RH_Vis_1,8.3,12.5,20.0,0.4755611410213235
R_101,RH_Vis_1,8.3,12.700000000000001,16.0,0.4810408296884952
R_101,RH_Vis_1,8.3,12.9,20.0,0.48272423695042554
R_101,RH_Vis_1,8.3,13.1,20.0,0.4876428658608278
R_101,RH_Vis_1,8.3,13.3,16.0,0.4889390020135337
R_101,RH_Vis_1,8.3,13.5,20.0,0.4870786734059015
R_101,RH_Vis_1,8.3,13.700000000000001,16.0,0.4881475518230976
R_101,RH_Vis_1,8.3,13.9,20.0,0.48334781701544555
R_101,RH_Vis_1,8.3,14.1,16.0,0.4803619624194033
R_101,RH_Vis_1,8.3,14.3,20.0,0.4739735600167377
R_101,RH_Vis_1,8.3,14.5,16.0,0.4701024835213853
R_101,RH_Vis_1,8.3,14.700000000000001,20.0,0.46159321909649
R_101,RH_Vis_1,8.3,14.9,16.0,0.4549405871407986
R_101,RH_Vis_1,8.3,15.1,20.0,0.443999504218714
R_101,RH_Vis_1,8.3,15.3,16.0,0.43509004052954914
R_101,RH_Vis_1,8.3,15.5,20.0,0.4229410976999806
R_101,RH_Vis_1,8.3,15.700000000000001,20.0,0.3984522461864862
R_101,RH_Vis_1,8.3,15.9,16.0,0.385960320131589
R_101,RH_Vis_1,8.3,16.1,20.0,0.3690591691720298
R_101,RH_Vis_1,8.3,16.3,16.0,0.3544349211158101
R_101,RH_Vis_1,8.3,16.5,20.0,0.33380133627440745
R_101,RH_Vis_1,8.3,16.700000000000003,16.0,0.31719287721041545
R_101,RH_Vis_1,8.3,16.9,20.0,0.2990420143993521
R_101,RH_Vis_1,8.3,17.1,16.0,0.28021618640376356
R_101,RH_Vis_1,8.3,17.3,20.0,0.2589212256383299
R_101,RH_Vis_1,8.3,17.5,16.0,0.23822537699357096
R_101,RH_Vis_1,8.3,17.700000000000003,16.0,0.23822537699357096
R_101,RH_Vis_1,8.3,17.9,12.0,0.21714898088016366
R_101,RH_Vis_1,8.5,8.1,3.0,0.024946840537294308
R_101,RH_Vis_1,8.5,8.3,6.0,0.09439858012953928
R_101,RH_Vis_1,8.5,8.5,6.0,0.09439858012953928
R_101,RH_Vis_1,8.5,8.7,10.0,0.1642250455930929
R_101,RH_Vis_1,8.5,8.9,10.0,0.1642250455930929
R_101,RH_Vis_1,8.5,9.1,14.0,0.20499495906996018
R_101,RH_Vis_1,8.5,9.3,13.0,0.22586070280393855
R_101,RH_Vis_1,8.5,9.5,17.0,0.25347469999885447
R_101,RH_Vis_1,8.5,9.7,15.0,0.27786464459312565
R_101,RH_Vis_1,8.5,9.9,19.0,0.2983701377893044
R_101,RH_Vis_1,8.5,10.1,16.0,0.3235926036769645
R_101,RH_Vis_1,8.5,10.3,20.0,0.34033770868396895
R_101,RH_Vis_1,8.5,10.5,20.0,0.37213332605065663
R_101,RH_Vis_1,8.5,10.7,16.0,0.38843672187278866
R_101,RH_Vis_1,8.5,10.9,20.0,0.4014778547687582
R_101,RH_Vis_1,8.5,11.1,16.0,0.41604227074036493
R_101,RH_Vis_1,8.5,11.3,20.0,0.42555593706574085
R_101,RH_Vis_1,8.5,11.5,16.0,0.4381284870134323
R_101,RH_Vis_1,8.5,11.7,20.0,0.4469944538607467
R_101,RH_Vis_1,8.5,11.9,16.0,0.4569135351479366
R_101,RH_Vis_1,8.5,12.1,20.0,0.4620914600657728
R_101,RH_Vis_1,8.5,12.3,16.0,0.4706286174267507
R_101,RH_Vis_1,8.5,12.5,20.0,0.4755611410213235
R_101,RH_Vis_1,8.5,12.700000000000001,16.0,0.4810408296884952
R_101,RH_Vis_1,8.5,12.9,20.0,0.48272423695042554
R_101,RH_Vis_1,8.5,13.1,20.0,0.4876428658608278
R_101,RH_Vis_1,8.5,13.3,16.0,0.4889390020135337
R_101,RH_Vis_1,8.5,13.5,20.0,0.4870786734059015
R_101,RH_Vis_1,8.5,13.700000000000001,16.0,0.4881475518230976
R_101,RH_Vis_1,8.5,13.9,20.0,0.48334781701544555
R_101,RH_Vis_1,8.5,14.1,16.0,0.4803619624194033
R_101,RH_Vis_1,8.5,14.3,20.0,0.4739735600167377
R_101,RH_Vis_1,8.5,14.5,16.0,0.4701024835213853
R_101,RH_Vis_1,8.5,14.700000000000001,20.0,0.46159321909649
R_101,RH_Vis_1,8.5,14.9,16.0,0.4549405871407986
R_101,RH_Vis_1,8.5,15.1,20.0,0.443999504218714
R_101,RH_Vis_1,8.5,15.3,16.0,0.43509004052954914
R_101,RH_Vis_1,8.5,15.5,20.0,0.4229410976999806
R_101,RH_Vis_1,8.5,15.700000000000001,20.0,0.3984522461864862
R_101,RH_Vis_1,8.5,15.9,16.0,0.385960320131589
R_101,RH_Vis_1,8.5,16.1,20.0,0.3690591691720298
R_101,RH_Vis_1,8.5,16.3,16.0,0.3544349211158101
R_101,RH_Vis_1,8.5,16.5,20.0,0.33380133627440745
R_101,RH_Vis_1,8.5,16.700000000000003,16.0,0.31719287721041545
R_101,RH_Vis_1,8.5,16.9,20.0,0.2990420143993521
R_101,RH_Vis_1,8.5,17.1,16.0,0.28021618640376356
R_101,RH_Vis_1,8.5,17.3,20.0,0.2589212256383299
R_101,RH_Vis_1,8.5,17.5,16.0,0.23822537699357096
R_101,RH_Vis_1,8.5,17.700000000000003,16.0,0.23822537699357096
R_101,RH_Vis_1,8.5,17.9,12.0,0.21714898088016366
R_101,RH_Vis_1,8.7,8.1,3.0,0.024946840537294308
R_101,RH_Vis_1,8.7,8.3,6.0,0.09439858012953928
R_101,RH_Vis_1,8.7,8.5,6.0,0.09439858012953928
R_101,RH_Vis_1,8.7,8.7,10.0,0.1642250455930929
R_101,RH_Vis_1,8.7,8.9,10.0,0.1642250455930929
R_101,RH_Vis_1,8.7,9.1,15.0,0.22720425466838431
R_101,RH_Vis_1,8.7,9.3,14.0,0.24816596639268027
R_101,RH_Vis_1,8.7,9.5,19.0,0.28615626656620474
R_101,RH_Vis_1,8.7,9.7,17.0,0.3115216960984852
R_101,RH_Vis_1,8.7,9.9,22.0,0.33725029238599585
R_101,RH_Vis_1,8.7,10.1,19.0,0.36462923543823983
R_101,RH_Vis_1,8.7,10.3,24.0,0.3835010693310303
R_101,RH_Vis_1,8.7,10.5,25.0,0.42070307610165275
R_101,RH_Vis_1,8.7,10.7,20.0,0.4375881769223242
R_101,RH_Vis_1,8.7,10.9,25.0,0.4506345388658306
R_101,RH_Vis_1,8.7,11.1,20.0,0.46516089681927
R_101,RH_Vis_1,8.7,11.3,25.0,0.47452550694339135
R_101,RH_Vis_1,8.7,11.5,20.0,0.4869750037383563
R_101,RH_Vis_1,8.7,11.7,25.0,0.4959256060336055
R_101,RH_Vis_1,8.7,11.9,20.0,0.5061034980110983
R_101,RH_Vis_1,8.7,12.1,25.0,0.5112349516883959
R_101,RH_Vis_1,8.7,12.3,20.0,0.5195731789229807
R_101,RH_Vis_1,8.7,12.5,25.0,0.5242544709260286
R_101,RH_Vis_1,8.7,12.700000000000001,20.0,0.5296130919975716
R_101,RH_Vis_1,8.7,12.9,25.0,0.5313329257507415
R_101,RH_Vis_1,8.7,13.1,25.0,0.5361723579733702
R_101,RH_Vis_1,8.7,13.3,20.0,0.537283443663062
R_101,RH_Vis_1,8.7,13.5,25.0,0.5354644632646057
R_101,RH_Vis_1,8.7,13.700000000000001,20.0,0.5363903874813605
R_101,RH_Vis_1,8.7,13.9,25.0,0.5320875185349591
R_101,RH_Vis_1,8.7,14.1,20.0,0.5293644884341437
R_101,RH_Vis_1,8.7,14.3,25.0,0.5229632964964321
R_101,RH_Vis_1,8.7,14.5,20.0,0.5191510554296849
R_101,RH_Vis_1,8.7,14.700000000000001,25.0,0.5109762410920031
R_101,RH_Vis_1,8.7,14.9,20.0,0.5046750242267488
R_101,RH_Vis_1,8.7,15.1,25.0,0.4939081760778029
R_101,RH_Vis_1,8.7,15.3,20.0,0.48533808467955863
R_101,RH_Vis_1,8.7,15.5,25.0,0.4733736044532842
R_101,RH_Vis_1,8.7,15.700000000000001,25.0,0.4487124290911971
R_101,RH_Vis_1,8.7,15.9,20.0,0.4365509041775999
R_101,RH_Vis_1,8.7,16.1,25.0,0.4192616564974206
R_101,RH_Vis_1,8.7,16.3,20.0,0.4045078246864568
R_101,RH_Vis_1,8.7,16.5,25.0,0.38483928981225946
R_101,RH_Vis_1,8.7,16.700000000000003,20.0,0.3683389163948195
R_101,RH_Vis_1,8.7,16.9,25.0,0.35029244273992033
R_101,RH_Vis_1,8.7,17.1,20.0,0.33148663253785376
R_101,RH_Vis_1,8.7,17.3,25.0,0.31096942414800666
R_101,RH_Vis_1,8.7,17.5,20.0,0.2908192387002789
R_101,RH_Vis_1,8.7,17.700000000000003,20.0,0.2908192387002789
R_101,RH_Vis_1,8.7,17.9,15.0,0.27105742967480395
R_101,RH_Vis_1,8.9,8.1,1.0,
R_101,RH_Vis_1,8.9,8.3,3.0,0.19263816269317288
R_101,RH_Vis_1,8.9,8.5,3.0,0.19263816269317288
