roi,roi_label,age_i_center,age_j_center,n_pairs_local,conditional_coupling
V_1,Tian_1,8.1,8.1,3.0,0.044289974318750515
V_1,Tian_1,8.1,8.3,6.0,0.11187330745364492
V_1,Tian_1,8.1,8.5,6.0,0.11187330745364492
V_1,Tian_1,8.1,8.7,9.0,0.14999937533796615
V_1,Tian_1,8.1,8.9,9.0,0.14999937533796615
V_1,Tian_1,8.1,9.1,12.0,0.17877643281219094
V_1,Tian_1,8.1,9.3,11.0,0.1990542779016173
V_1,Tian_1,8.1,9.5,14.0,0.22091397012659258
V_1,Tian_1,8.1,9.7,12.0,0.2429704829703788
V_1,Tian_1,8.1,9.9,15.0,0.26022491885027255
V_1,Tian_1,8.1,10.1,12.0,0.2804169884157059
V_1,Tian_1,8.1,10.3,15.0,0.2969051535773293
V_1,Tian_1,8.1,10.5,15.0,0.32745601047455963
V_1,Tian_1,8.1,10.7,12.0,0.34304311178448305
V_1,Tian_1,8.1,10.9,15.0,0.35508209975991306
V_1,Tian_1,8.1,11.1,12.0,0.368586080962016
V_1,Tian_1,8.1,11.3,15.0,0.3777419213650424
V_1,Tian_1,8.1,11.5,12.0,0.3898667361138411
V_1,Tian_1,8.1,11.7,15.0,0.39806692799370497
V_1,Tian_1,8.1,11.9,12.0,0.40686920643617547
V_1,Tian_1,8.1,12.1,15.0,0.4118692576258735
V_1,Tian_1,8.1,12.3,12.0,0.4200851231341518
V_1,Tian_1,8.1,12.5,15.0,0.42470698449422445
V_1,Tian_1,8.1,12.700000000000001,12.0,0.43007421770237214
V_1,Tian_1,8.1,12.9,15.0,0.4311287549438966
V_1,Tian_1,8.1,13.1,15.0,0.4352783960155448
V_1,Tian_1,8.1,13.3,12.0,0.4363810711411409
V_1,Tian_1,8.1,13.5,15.0,0.4343196090545475
V_1,Tian_1,8.1,13.700000000000001,12.0,0.4349321457220181
V_1,Tian_1,8.1,13.9,15.0,0.43003640083679356
V_1,Tian_1,8.1,14.1,12.0,0.4267468935623633
V_1,Tian_1,8.1,14.3,15.0,0.42093134202031346
V_1,Tian_1,8.1,14.5,12.0,0.41732745154789325
V_1,Tian_1,8.1,14.700000000000001,15.0,0.40898099360918233
V_1,Tian_1,8.1,14.9,12.0,0.40244786992763065
