roi,roi_label,age_i_center,age_j_center,n_pairs_local,conditional_coupling
L_1,LH_Vis_1,8.1,8.1,3.0,0.04286903357644978
L_1,LH_Vis_1,8.1,8.3,6.0,0.11064344322323977
L_1,LH_Vis_1,8.1,8.5,6.0,0.11064344322323977
L_1,LH_Vis_1,8.1,8.7,9.0,0.14878215809174972
L_1,LH_Vis_1,8.1,8.9,9.0,0.14878215809174972
L_1,LH_Vis_1,8.1,9.1,12.0,0.17753579194038147
L_1,LH_Vis_1,8.1,9.3,11.0,0.1978392126165737
L_1,LH_Vis_1,8.1,9.5,14.0,0.2196579668571123
L_1,LH_Vis_1,8.1,9.7,12.0,0.2417335499810408
L_1,LH_Vis_1,8.1,9.9,15.0,0.2589435049393755
L_1,LH_Vis_1,8.1,10.1,12.0,0.27907491795671197
L_1,LH_Vis_1,8.1,10.3,15.0,0.29552713729807967
L_1,LH_Vis_1,8.1,10.5,15.0,0.32601228730720866
L_1,LH_Vis_1,8.1,10.7,12.0,0.34156618576244163
L_1,LH_Vis_1,8.1,10.9,15.0,0.3535988434527989
L_1,LH_Vis_1,8.1,11.1,12.0,0.3670835378812269
L_1,LH_Vis_1,8.1,11.3,15.0,0.37624445811466245
L_1,LH_Vis_1,8.1,11.5,12.0,0.38835974145014945
L_1,LH_Vis_1,8.1,11.7,15.0,0.39657719480176995
L_1,LH_Vis_1,8.1,11.9,12.0,0.4053874898363248
L_1,LH_Vis_1,8.1,12.1,15.0,0.41042097444451275
L_1,LH_Vis_1,8.1,12.3,12.0,0.41865488358703723
L_1,LH_Vis_1,8.1,12.5,15.0,0.4233156282177848
L_1,LH_Vis_1,8.1,12.700000000000001,12.0,0.4287121667186739
L_1,LH_Vis_1,8.1,12.9,15.0,0.42982588732046867
L_1,LH_Vis_1,8.1,13.1,15.0,0.4340890827719745
L_1,LH_Vis_1,8.1,13.3,12.0,0.4352496014129052
L_1,LH_Vis_1,8.1,13.5,15.0,0.43326582309143913
L_1,LH_Vis_1,8.1,13.700000000000001,12.0,0.43394355064498275
L_1,LH_Vis_1,8.1,13.9,15.0,0.42915056609130237
L_1,LH_Vis_1,8.1,14.1,12.0,0.42594855592893444
L_1,LH_Vis_1,8.1,14.3,15.0,0.4202347651375381
L_1,LH_Vis_1,8.1,14.5,12.0,0.41672326399001075
L_1,LH_Vis_1,8.1,14.700000000000001,15.0,0.40850007287945084
L_1,LH_Vis_1,8.1,14.9,12.0,0.40207406202282997
L_1,LH_Vis_1,8.1,15.1,15.0,0.3916182351338982
L_1,LH_Vis_1,8.1,15.3,12.0,0.38319011646597895
L_1,LH_Vis_1,8.1,15.5,15.0,0.3718436469475744
L_1,LH_Vis_1,8.1,15.700000000000001,15.0,0.34793906349402537
L_1,LH_Vis_1,8.1,15.9,12.0,0.3355789288745436
L_1,LH_Vis_1,8.1,16.1,15.0,0.31905699319175296
L_1,LH_Vis_1,8.1,16.3,12.0,0.3049194143803884
L_1,LH_Vis_1,8.1,16.5,15.0,0.28514843698304926
L_1,LH_Vis_1,8.1,16.700000000000003,12.0,0.2689868143342688
L_1,LH_Vis_1,8.1,16.9,15.0,0.2506271034741073
L_1,LH_Vis_1,8.1,17.1,12.0,0.23166943712414523
L_1,LH_Vis_1,8.1,17.3,15.0,0.21101567260828788
L_1,LH_Vis_1,8.1,17.5,12.0,0.1911556631081508
L_1,LH_Vis_1,8.1,17.700000000000003,12.0,0.1911556631081508
L_1,LH_Vis_1,8.1,17.9,9.0,0.17055113399067096
L_1,LH_Vis_1,8.3,8.1,3.0,0.04286903357644978
L_1,LH_Vis_1,8.3,8.3,6.0,0.11064344322323977
L_1,LH_Vis_1,8.3,8.5,6.0,0.11064344322323977
L_1,LH_Vis_1,8.3,8.7,10.0,0.17873995661246708
L_1,LH_Vis_1,8.3,8.9,10.0,0.17873995661246708
L_1,LH_Vis_1,8.3,9.1,14.0,0.21830743566223174
L_1,LH_Vis_1,8.3,9.3,13.0,0.23862353344376752
L_1,LH_Vis_1,8.3,9.5,17.0,0.26529302825889484
L_1,LH_Vis_1,8.3,9.7,15.0,0.2890381696116086
