roi,roi_label,beta_brain_delta,beta_interaction_M_nn,beta_interaction_M_conv,beta_interaction_M_div,window_index,window_start,window_end,window_center,n_subjects,n_pairs,coupling_mean,coupling_sd,coupling_se,ci_low,ci_high
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,1,8.0,10.5,9.25,7,21,0.2997881323668577,0.19773662199725303,0.04314966847463248,0.20977950116713534,0.38979676356658005
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,2,8.833333333333334,11.333333333333334,10.083333333333334,7,21,0.6759006319460127,0.1360507291202797,0.02968870307369593,0.6139710825375541,0.7378301813544713
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,3,9.666666666666666,12.166666666666666,10.916666666666666,7,21,0.8549545193236566,0.09761610048386539,0.02130157950065374,0.8105202031162657,0.8993888355310475
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,4,10.5,13.0,11.75,7,21,0.9757726587464501,0.058620917210114476,0.012792132877289957,0.9490887371518557,1.0024565803410446
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,5,11.333333333333334,13.833333333333334,12.583333333333334,6,15,1.0512056621224994,0.018159700628390167,0.004688814540391165,1.0411491551141572,1.0612621691308417
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,6,12.166666666666668,14.666666666666668,13.416666666666668,6,15,1.053706229201019,0.014406329729376485,0.0037196983414565284,1.0457282697151964,1.0616841886868418
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,7,13.0,15.5,14.25,7,21,1.0513408897981793,0.020939069515064426,0.004569279573082143,1.0418095396283915,1.060872239967967
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,8,13.833333333333334,16.333333333333336,15.083333333333336,7,21,1.0469737613906098,0.030935703677998423,0.006750723989578646,1.0328919979057682,1.0610555248754514
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,9,14.666666666666668,17.166666666666668,15.916666666666668,7,21,1.0524823940444326,0.03958054114375276,0.00863718218278862,1.0344655477237596,1.0704992403651055
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,10,15.5,18.0,16.75,7,21,1.0665240756649361,0.05691102647786117,0.012419004129163566,1.0406184870000574,1.0924296643298148
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,1,8.0,10.5,9.25,7,21,0.2881908021298942,0.201098025335692,0.043883186819378854,0.19665207847513194,0.3797295257846564
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,2,8.833333333333334,11.333333333333334,10.083333333333334,7,21,0.6706150760240484,0.1375899629207887,0.03002459142622293,0.607984875789856,0.7332452762582407
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,3,9.666666666666666,12.166666666666666,10.916666666666666,7,21,0.8517340460114531,0.09807029829634703,0.021400693589043288,0.8070929814385724,0.8963751105843337
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,4,10.5,13.0,11.75,7,21,0.9728698589983515,0.05806109114399608,0.012669968814242486,0.9464407671738436,0.9992989508228595
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,5,11.333333333333334,13.833333333333334,12.583333333333334,6,15,1.0460641818195984,0.018415454295299866,0.004754849853236015,1.035866043151334,1.0562623204878627
